time_1,time_2,claro_uem,nublado_uem,int_uem,claro_dindiza,nublado_dindiza,int_dindiza,claro_massangena,nublado_massangena,int_massangena,claro_pomene,nublado_pomene,int_pomene,claro_maravia,nublado_maravia,int_maravia,claro_nhangau,nublado_nhangau,int_nhangau,claro_nhapassa_1,nublado_nhapassa_1,int_nhapassa_1,claro_lugela_1,nublado_lugela_1,int_lugela_1,claro_chomba,nublado_chomba,int_chomba,claro_nanhupo_1,nublado-nanhupo_1,int_nanhupo_1,claro_massangulo_1,nublado_massangulo_1,int_massangulo_1
6:00:00,6:00:00,,,0.96138961,,,1.458203964,,,0.642233418,,,0.213065534,,,0.354215662,,,0.790861368,,,0.76972449,,,0.643586697,,,0.521937256,,,0.517233471,1.33455453,0.396355963,0.8802
6:01:00,6:10:00,,,0.958625909,,,1.404950699,,,0.73959371,,,0.241108806,,,0.436188094,,,0.834595297,,,0.795623554,,,0.698773406,,,0.501355873,,,0.609155843,0.947938053,0.356234674,0.856
6:02:00,6:20:00,,,0.955863023,,,1.358062827,,,0.75793446,,,0.266237487,,,0.578690722,,,0.98983208,,,0.831472766,,,0.744589872,,,0.616836875,,,0.665144231,0.686336121,0.198566148,1.1046
6:03:00,6:30:00,,,0.960981332,,,1.321741277,,,0.818796457,,,0.18763224,,,0.585159637,,,1.075893184,,,0.849727505,,,0.764582423,,,0.716299166,,,0.746857915,0.705738081,0.388977482,1.1902
6:04:00,6:40:00,,,0.958079716,,,1.290751651,,,0.841031126,,,0.14560812,,,0.634748991,,,1.078192906,,,0.869645555,,,0.785038155,,,0.710962359,,,0.774643516,0.807435625,0.243612679,1.1681
6:05:00,6:50:00,,,0.940032362,,,1.263704586,,,0.611326636,,,0.168266115,,,0.774188607,,,0.699057658,,,0.888191969,,,0.802433593,,,0.729594652,,,0.793114125,0.857270102,0.234414369,0.749
6:06:00,7:00:00,,,0.937446917,,,1.243143145,,,1.206276825,,,0.201452435,,,0.796109649,,,0.670784992,,,0.904565901,,,0.810975974,,,0.836491047,,,0.801968506,0.605828663,0.209980323,0.7339
6:07:00,7:10:00,,,0.934872883,,,1.226760542,,,0.849548581,,,0.193259758,,,0.762283363,,,0.801571547,,,0.908910021,,,0.818787021,,,0.78786225,,,0.807060868,0.647311508,0.237587573,0.9373
6:08:00,7:20:00,,,0.932312083,,,1.210297554,,,1.152440481,,,0.219407331,,,0.842191737,,,0.824435295,,,0.859489149,,,0.834166028,,,0.825210151,,,0.832635369,0.683483614,0.422684601,0.877
6:09:00,7:30:00,,,0.929767723,,,1.190904832,,,1.27488166,,,0.304182842,,,0.963724987,,,0.753857482,,,0.91929365,,,0.847304993,,,0.794519301,,,0.850264653,0.553680475,0.647340505,1.0381
